Nome	Ind	Bacia	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
PjumbPIA5	14	PIA	3.93757597	9.232598684	7.534817028	5.960026475	6.490822221	5.379273891	2.571608579	8.664831301	11.78817926	3.931647952	4.913534765	1.716130415	2.288037249	3.656418965	4.85456349	21.75199404	6.834888215	1.289061828
PjumbPIA6	15	PIA	4.842189085	9.321696906	7.590852218	5.622106305	6.458225496	5.022458734	2.864285615	9.751932041	11.7032268	4.120919493	5.061520219	1.562162196	2.379284861	3.543472096	5.243483466	20.67071234	7.034080657	1.47579757
PjumbPIA7	16	PIA	4.726664801	9.614466997	7.322246268	5.55690583	6.287995556	5.337758135	2.864304638	9.546977964	11.60384759	4.415538354	5.081842362	1.772880371	2.298801532	3.831384359	5.397363611	20.82772227	7.461557317	1.466577
PjumbPIA8	17	PIA	4.28129985	9.42248022	7.426690304	5.587493006	6.218094144	5.475389314	2.569796389	9.611161953	12.36833418	4.308918241	4.850310526	1.781601324	2.176937609	3.762770803	4.685487912	21.14342716	6.908598777	1.420329123
PjumbPIA9	18	PIA	4.367483262	9.53048564	7.433078767	5.972087375	6.827067985	4.855326785	3.023809397	9.501135959	11.93526437	4.173243612	4.861889828	1.528986055	2.272237222	3.672596168	4.914282574	20.82478807	6.875743561	1.374740124
PjumbPIA10	19	PIA	3.886639295	9.336097414	7.704160049	5.477871314	6.938918729	4.8020851	2.60281006	9.006705102	12.08940953	4.27586216	4.698756532	1.542853485	2.147347754	3.545411956	4.53123817	21.20598077	6.16687459	1.152046345
PjumbPIA11	20	PIA	4.095395017	9.667587218	7.562256697	6.140153619	6.921378664	5.11386518	2.68996278	9.298541471	12.22867394	3.79172651	4.933722318	1.612299642	2.349927958	3.566006592	4.657297265	21.00751869	6.766254325	1.381628205
PjumbPIA12	21	PIA	4.10218224	9.373009421	7.51716157	5.814401298	6.7452389	4.740168968	2.825103486	9.080464903	11.94870763	4.371277754	5.057841117	1.658581463	2.273915435	3.662144826	5.43674169	21.43633616	6.950218654	1.345242394
PjumbPIA13	22	PIA	3.700368185	9.692866323	7.349914775	5.635017115	5.998806781	4.938826741	2.715068961	9.492768657	11.92580021	4.24719902	5.300845895	1.6336729	2.411234507	3.486405494	4.922762175	20.63196269	7.023298218	1.413953667
PjumbPIA14	23	PIA	4.928699277	9.753487847	7.754526729	5.758279412	6.441800452	5.398375944	2.851024559	9.186340201	11.98520005	4.280012975	5.218176985	1.683871909	2.390851767	4.194323892	5.286298705	21.28164015	7.516481011	1.390130837
