ID	Names	row.names	BD	HL	CW	TL	AbL	PL	CPD	CPL	PdL	HD	SNL	OD	IW	AdCD	AnCD	PAdD	DL	MR
53	PcesaPBM	cesar13	0.03206355	2.35101708	-0.87083251	-0.17216885	1.88770027	0.07422201	-0.57110623	0.96652907	-0.1550731	1.71758769	-0.23899936	0.2858601	1.459529062	0.71649834	-0.65727125	0.19327456	0.5438331	0.90146664
54	PcesaPBM	cesar14	-0.4891714	0.1316691	-0.56174902	0.77815628	-0.14054451	-0.07358141	0.60855341	-0.58865328	0.8334518	1.02661593	1.00744166	0.9296749	0.511907695	-0.39651892	-0.81281109	1.01372408	0.04691809	0.03686025
55	PcesaPBM	cesar15	0.18512688	-0.74548724	0.04280951	0.59244318	1.72119805	0.12055763	-0.1371538	-1.6750193	1.2911726	-0.35145725	0.35462033	-0.5838245	1.19637679	0.32726137	1.47907001	0.52001795	-0.15552992	-0.09056767
56	PcesaPBM	cesar16	-1.39118432	-1.32990566	-0.38638965	-0.61084474	1.61552551	-0.35447927	0.8182048	-0.42214711	-0.7447147	-1.97832997	-0.54027783	-2.0586271	0.77294026	0.69862467	-0.74186982	0.39267607	0.6562413	1.40780249
57	PcesaPBM	cesar17	-0.70086409	-0.01964914	0.21614274	0.06415005	0.24145582	1.50713806	0.31044199	0.13417466	0.5217283	-0.98550432	-0.12265566	0.9199208	-0.14736258	-1.2711035	1.01325385	-0.58039469	0.28251802	0.64455151
58	PcesaPBM	cesar18	-1.86405153	-0.84639519	-1.3507681	-0.30428657	0.72823178	-0.21409854	0.9622347	1.14502527	-0.4631677	-1.49425538	-3.04236222	-1.1937662	-0.80304132	0.0404633	0.3189487	-0.19307745	-0.13741749	-0.06532463
59	PcesaPBM	cesar19	0.8613764	-0.81691505	1.16394633	0.06333095	-0.56315049	1.84778933	1.91251403	-0.50053561	-0.5280212	0.98910263	0.34808675	0.206573	1.734645404	1.54150848	0.66711784	0.7328874	0.3203219	-0.51609127
60	PcesaPBM	cesar20	-1.49088483	-0.32455113	0.50916782	0.67121632	-1.44686199	0.77203252	1.83667624	-1.51331422	0.2503166	0.12133848	2.55281425	0.3573697	0.000466875	1.422667	1.72160035	0.31417916	1.04556377	0.23533877
61	PaffcPBN	Paffcear1	0.171384286	-0.714424471	0.11066949	-0.36568263	-0.174208038	0.492604296	-0.4766279	0.34468194	-0.100460964	-0.07539556	-0.250045496	-0.08821804	-0.148692989	2.177724794	-0.38869729	-0.21050746	-0.093678318	-0.145747266
62	PaffcPBN	Paffcear2	-0.504357705	-0.483509749	-0.052451382	0.674765372	-1.130179346	-0.320831253	-0.1930456	0.55464648	-0.104796602	-0.11536519	-0.467033994	0.26979665	-0.309107045	0.529542196	0.51583203	-0.28655761	-0.052016179	-0.827505535
63	PaffcPBN	Paffcear3	-0.089708142	-0.566004474	-0.269693406	-0.173515453	-0.722721316	0.149756924	-0.0828352	-0.23920942	-0.413813537	-0.17212879	-0.77262981	-0.26275951	-0.046584135	0.454597553	-0.39152437	-0.24370558	-2.061969879	-1.091842019
64	PaffcPBN	Paffcear4	-0.294541583	-0.561818043	-0.206276638	0.02588087	-0.983312246	-0.244167312	-0.2686676	0.03251354	-0.272882464	-0.5592856	-0.326278726	0.15740534	-0.053461159	0.098060902	0.89358308	-0.4234068	-0.570934743	-0.902898898
